article_id,demographic_count,relational_count,cultural_count,doi,jstor_url,publicationYear,article_name,primary_subject,journal_title,creator,file_name,wordCount,pageCount
journal-article-10.1525_si.1977.1.1.104,11,12,25,10.1525_si.1977.1.1.104,https://www.jstor.org/stable/10.1525/si.1977.1.1.104,1977.0,The Structure of Motives,Sociology,Symbolic Interaction,R.S. Perinbanayagam,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.104.txt,10262.0,17.0
journal-article-10.1525_si.1977.1.1.121,0,6,16,10.1525_si.1977.1.1.121,https://www.jstor.org/stable/10.1525/si.1977.1.1.121,1977.0,Conceptual and Methodological Issues in the Study of Role-taking Accuracy,Sociology,Symbolic Interaction,James Sherohman,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.121.txt,5808.0,11.0
journal-article-10.1525_si.1977.1.1.132,5,22,30,10.1525_si.1977.1.1.132,https://www.jstor.org/stable/10.1525/si.1977.1.1.132,1977.0,The Social Dynamics of Technical Innovation in the Computing World,Sociology,Symbolic Interaction,Rob Kling; Elihu M. Gerson,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.132.txt,7620.0,15.0
journal-article-10.1525_si.1977.1.1.2,3,5,60,10.1525_si.1977.1.1.2,https://www.jstor.org/stable/10.1525/si.1977.1.1.2,1977.0,Personal Acts,Sociology,Symbolic Interaction,Gregory P. Stone,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.2.txt,10392.0,18.0
journal-article-10.1525_si.1977.1.1.20,1,7,13,10.1525_si.1977.1.1.20,https://www.jstor.org/stable/10.1525/si.1977.1.1.20,1977.0,Film Games,Sociology,Symbolic Interaction,Chandra Mukerji,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.20.txt,7147.0,12.0
journal-article-10.1525_si.1977.1.1.32,0,1,19,10.1525_si.1977.1.1.32,https://www.jstor.org/stable/10.1525/si.1977.1.1.32,1977.0,Art Without A Market: Creating Artistic Value In A Provincial Art World,Sociology,Symbolic Interaction,Michal M. McCall,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.32.txt,7105.0,12.0
journal-article-10.1525_si.1977.1.1.44,6,2,31,10.1525_si.1977.1.1.44,https://www.jstor.org/stable/10.1525/si.1977.1.1.44,1977.0,Bachelorhood and Late Marriage: An Interactionist Interpretation,Sociology,Symbolic Interaction,Jon Darling,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.44.txt,6591.0,12.0
journal-article-10.1525_si.1977.1.1.56,1,10,14,10.1525_si.1977.1.1.56,https://www.jstor.org/stable/10.1525/si.1977.1.1.56,1977.0,Violent Crime: A Symbolic Interactionist Study,Sociology,Symbolic Interaction,Lonnie H. Athens,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.56.txt,9777.0,15.0
journal-article-10.1525_si.1977.1.1.71,6,14,112,10.1525_si.1977.1.1.71,https://www.jstor.org/stable/10.1525/si.1977.1.1.71,1977.0,The Professionalization of Medical Students: Developing Competence And A Cloak of Competence,Sociology,Symbolic Interaction,Jack Haas; William Shaffir,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.71.txt,10734.0,18.0
journal-article-10.1525_si.1977.1.1.89,9,34,74,10.1525_si.1977.1.1.89,https://www.jstor.org/stable/10.1525/si.1977.1.1.89,1977.0,Convergences Between Symbolic Interactionism and Systems Theory,Sociology,Symbolic Interaction,Stewart S. Stover,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1977.1.1.89.txt,8479.0,15.0
journal-article-10.1525_si.1978.1.2.106,1,9,15,10.1525_si.1978.1.2.106,https://www.jstor.org/stable/10.1525/si.1978.1.2.106,1978.0,The Influence of an Untoward Public Act on Conceptions of Self,Sociology,Symbolic Interaction,Sharon Kantorowski Davis,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.106.txt,8554.0,18.0
journal-article-10.1525_si.1978.1.2.124,3,45,59,10.1525_si.1978.1.2.124,https://www.jstor.org/stable/10.1525/si.1978.1.2.124,1978.0,Childbirth As Negotiated Reality,Sociology,Symbolic Interaction,Barbara Katz Rothman,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.124.txt,7127.0,14.0
journal-article-10.1525_si.1978.1.2.138,0,8,13,10.1525_si.1978.1.2.138,https://www.jstor.org/stable/10.1525/si.1978.1.2.138,1978.0,Taking License with Medical Work: Notes on the Resolution of Risk and Uncertainty in a Gynecological Self-Help Clinic,Sociology,Symbolic Interaction,Karen J. Peterson,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.138.txt,4711.0,10.0
journal-article-10.1525_si.1978.1.2.24,6,32,24,10.1525_si.1978.1.2.24,https://www.jstor.org/stable/10.1525/si.1978.1.2.24,1978.0,Patterns Of Segmentation And Intersection In The Computing World,Sociology,Symbolic Interaction,Rob Kling,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.24.txt,10158.0,20.0
journal-article-10.1525_si.1978.1.2.44,1,22,48,10.1525_si.1978.1.2.44,https://www.jstor.org/stable/10.1525/si.1978.1.2.44,1978.0,Sexual Politics in the Workplace: The Interactional World of Policewomen,Sociology,Symbolic Interaction,Susan E. Martin,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.44.txt,8716.0,17.0
journal-article-10.1525_si.1978.1.2.5,30,30,36,10.1525_si.1978.1.2.5,https://www.jstor.org/stable/10.1525/si.1978.1.2.5,1978.0,"The Chicago Tradition and Social Change: Thomas, Park And Their Successors",Sociology,Symbolic Interaction,Berenice Fisher; Anselm Strauss,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.5.txt,10009.0,19.0
journal-article-10.1525_si.1978.1.2.61,5,8,21,10.1525_si.1978.1.2.61,https://www.jstor.org/stable/10.1525/si.1978.1.2.61,1978.0,Experimental Research As Practical Action: Stooge Detection And Bias,Sociology,Symbolic Interaction,James Alan Neff,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1978.1.2.61.txt,5342.0,13.0
