account,rationally
age,dependencies
age,dependent
carrying,capacity
chance,survival
chances,survival
coarse,grained
collective,rationality
competition,coefficient
competition,coefficients
competitive,exclusion
competitive,pressure
complex,system
complex,systems
constraints,information
death,rate
death,rates
environmental,capacity
environmental,change
environmental,constraint
environmental,constraints
environmental,contingencies
environmental,contingency
environmental,resources
environmental,selection
environmental,turbulence
failure,rate
failure,rates
fundamental,change
fundamental,changes
general,equilibria
general,equilibrium
inertial,force
inertial,forces
inertial,pressure
inertial,pressures
information,constraint
information,constraints
internal,politics
legitimacy,constraint
legitimacy,constraints
liability,newness
life,expectancy
natural,selection
niche,width
organizational,change
organizational,form
organizational,learning
organizational,population
organizational,populations
peripheral,feature
peripheral,features
peripheral,structure
peripheral,structures
population,ecologist
population,ecologists
population,ecology
population,organizations
populations,organizations
radical,change
radical,changes
random,transformation
rational,adaptation
resist,change
resistance,change
resistant,change
resisted,change
resisting,change
select,out
selected,out
selection,pressure
selection,pressures
selection,process
selection,processes
structural,change
structural,changes
structural,inertia
sunk,cost
sunk,costs
survival,chance
survival,chances
